"","x"
"1743",21
"1744",25
"1745",37
"1746",11
"1747",54
"1748",18
"1749",24
"1750",71
"1751",20
"1752",17
"1753",24
"1754",6
"1755",15
"1756",50
"1757",84
"1758",24
"1759",46
"1760",16
"1761",1
"1762",17
"1763",27
"1764",264
"1765",15
"1766",168
"1767",35
"1768",22
"1769",25
"1770",33
"1771",286
"1772",26
"1773",23
"1774",18
"1775",203
"1776",15
"1777",63
"1778",22
"1779",13
"1780",50
"1781",15
"1782",34
"1783",77
"1784",27
"1785",3
"1786",10
"1787",2
"1788",15
"1789",39
"1790",83
"1791",83
"1792",20
"1793",918
"1794",16
"1795",122
"1796",57
"1797",133
"1798",125
"1799",9
"1800",19
"1801",147
"1802",13
"1803",168
"1804",28
"1805",26
"1806",18
"1807",25
"1808",36
"1809",60
"1810",12
"1811",29
"1812",10
"1813",16
"1814",112
"1815",11
"1816",20
"1817",35
"1818",22
"1819",0
"1820",40
"1821",1
"1822",4
"1823",20
"1824",12
"1825",39
"1826",7
"1827",17
"1828",39
"1829",39
"1830",176
"1831",15
"1832",19
"1833",15
"1834",58
"1835",47
"1836",46
"1837",250
"1838",114
"1839",62
"1840",45
"1841",18
"1842",167
"1843",34
"1844",37
"1845",20
"1846",18
"1847",56
"1848",0
"1849",48
"1850",17
"1851",59
"1852",17
"1853",30
"1854",29
"1855",169
"1856",31
"1857",22
"1858",24
"1859",123
"1860",61
"1861",72
"1862",286
"1863",14
"1864",32
"1865",17
"1866",35
"1867",93
"1868",101
"1869",39
"1870",241
"1871",95
"1872",10
"1873",17
"1874",16
"1875",30
"1876",42
"1877",55
"1878",24
"1879",4
"1880",82
"1881",13
"1882",66
"1883",9
"1884",30
"1885",19
"1886",320
"1887",58
"1888",15
"1889",140
"1890",72
"1891",20
"1892",65
"1893",25
"1894",76
"1895",75
"1896",48
"1897",21
"1898",130
"1899",39
"1900",50
"1901",40
"1902",7
"1903",32
"1904",15
"1905",18
"1906",20
"1907",39
"1908",16
"1909",121
"1910",23
"1911",11
"1912",39
"1913",23
"1914",30
"1915",36
"1916",126
"1917",50
"1918",147
"1919",25
"1920",51
"1921",16
"1922",25
"1923",16
"1924",18
"1925",95
"1926",17
"1927",5
"1928",0
"1929",98
"1930",15
"1931",31
"1932",50
"1933",40
"1934",55
"1935",3
"1936",104
"1937",18
"1938",19
"1939",15
"1940",15
"1941",14
"1942",11
"1943",21
"1944",23
"1945",78
"1946",18
"1947",4
"1948",19
"1949",30
"1950",24
"1951",95
"1952",11
"1953",7
"1954",152
"1955",25
"1956",17
"1957",22
"1958",90
"1959",15
"1960",48
"1961",24
"1962",16
"1963",15
"1964",93
"1965",12
"1966",86
"1967",111
"1968",14
"1969",6
"1970",70
"1971",21
"1972",17
"1973",17
"1974",16
"1975",6
"1976",16
"1977",19
"1978",55
"1979",35
"1980",43
"1981",15
"1982",105
"1983",16
"1984",21
"1985",42
"1986",58
"1987",16
"1988",20
"1989",20
"1990",67
"1991",0
"1992",5
"1993",14
"1994",93
"1995",90
"1996",16
"1997",526
"1998",40
"1999",21
"2000",40
"2001",13
"2002",5
"2003",316
"2004",6
"2005",3
"2006",43
"2007",41
"2008",74
"2009",25
"2010",21
"2011",132
"2012",38
"2013",19
"2014",32
"2015",38
"2016",73
"2017",4
"2018",43
"2019",17
"2020",38
"2021",38
"2022",17
"2023",0
"2024",5
"2025",1
"2026",26
"2027",33
"2028",20
"2029",32
"2030",383
"2031",379
"2032",17
"2033",11
"2034",87
"2035",24
"2036",27
"2037",18
"2038",32
"2039",39
"2040",58
"2041",203
"2042",19
"2043",15
"2044",15
"2045",22
"2046",3
"2047",10
"2048",2
"2049",40
"2050",52
"2051",31
"2052",14
"2053",7
"2054",14
"2055",10
"2056",0
"2057",0
"2058",25
"2059",20
"2060",13
"2061",29
"2062",21
"2063",30
"2064",5
"2065",17
"2066",45
"2067",263
"2068",15
"2069",15
"2070",24
"2071",15
"2072",384
"2073",17
"2074",26
"2075",51
"2076",28
"2077",23
"2078",31
"2079",17
"2080",46
"2081",100
"2082",27
"2083",24
"2084",23
"2085",9
"2086",7
"2087",47
"2088",18
"2089",9
"2090",48
"2091",55
"2092",16
"2093",5
"2094",18
"2095",28
"2096",20
"2097",42
"2098",38
"2099",2
"2100",62
"2101",7
"2102",18
"2103",14
"2104",37
"2105",3
"2106",3
"2107",13
"2108",11
"2109",22
"2110",16
"2111",24
"2112",12
"2113",61
"2114",28
"2115",28
"2116",44
"2117",17
"2118",35
"2119",53
"2120",42
"2121",23
"2122",6
"2123",277
"2124",10
"2125",15
"2126",10
"2127",15
"2128",77
"2129",10
"2130",59
"2131",4
"2132",30
"2133",84
"2134",25
"2135",25
"2136",4
"2137",26
"2138",12
"2139",18
"2140",6
"2141",14
"2142",35
"2143",21
"2144",11
"2145",15
"2146",26
"2147",15
"2148",15
"2149",16
"2150",8
"2151",160
"2152",23
"2153",10
"2154",55
"2155",24
"2156",21
"2157",68
"2158",37
"2159",1
"2160",50
"2161",36
"2162",6
"2163",15
"2164",15
"2165",49
"2166",30
"2167",25
